Start time,End time,thai_transcript,translation
110.2,144.9,ผมเข้ามาหน้าจานบินแล้วมันขึ้นว่าเลือกผู้ให้บริการเพื่อจะเอาแพ็คเกจเสริมมือถือ สมัครบริการหักบัญชีฝากอัตโนมัติแล้วก็รายการล่วงหน้า เดี๋ยวพี่น้องณัฐพงษ์ฟังพี่นิดนึงนะ ตอนที่น้องเข้าไปหน้าธุรกรรมนะน้องเลือกคำว่าจ่ายบิล น้องจิ้มเข้าไปที่คำว่าจ่ายบิลถูกไหมน้อง จะเจอ Reference ยาวๆเนาะ ใส่รหัสบริษัทนะคะ 0216 ในช่องค้นหา ทำไมมันขึ้น,
146.5,177.9,มันขึ้นคำว่าจ่ายบิลแล้วก็มันมีแค่คำว่าเลือกผู้ให้บริการแล้วก็แพ็คเกจเสริมมือถือสมัครบริการหักบัญชีอัตโนมัติ หนูฟังพี่ทีละขั้นตอนก่อนนะ สมมุติหนูเข้าไปที่หน้าธุรกรรมนะ หนูจะเลือกคำว่าจ่ายบิลถูกต้องไหม คำว่าจ่ายบิลเนี่ยมันก็จะเจอคำว่าจ่ายบิลแล้วติ๊กเข้าไป เพราะติ๊กเข้าไปจะเจอช่องเลย Reference ยาวๆที่มีรูปแว่นขยายเจอใช่ไหม,"It shows the word ""pay bill"" and there are only the words ""select service provider"" and ""mobile add-on package, subscribe to automatic account deduction service"". Let me listen to you step by step first. Suppose I go to the transaction page, should I select the word ""pay bill""? For the word ""pay bill"", I will find the word ""pay bill"" and then tick it. Because when I tick it, I will immediately find a long reference field with a magnifying glass icon, right?"
180.3,181.8,อันนี้ หรอใช่,Is this correct?
182.5,193.9,ที่อันนี้มันมีขึ้นนะพี่ เพราะว่าอันนี้มันเป็นแอปกรุงเทพฯที่ผมโอนเนี่ย อ้าว แอปกรุงเทพฯนะหนู ไม่บอกพี่เล่า พี่จะได้ชมกันก่อน แล้วกรุงเทพฯเหรอ โอเค พี่ส่งแอปธนาคาร,"This one has come up, brother, because this is the Bangkok app that I transferred. Oh, the Bangkok app, kid. You didn't tell me. I could have praised it first. Is it Bangkok? Okay, I'll send the bank app."
195.3,199.9,ก็คือเอางี้ พี่ถามอย่างงี้ก็คือ เงินอ่ะอยู่ในแอปกรุงเทพฯ ถูกมั้ย,"So this is how it is, you asked like this, the money is in the Bangkok Bank app, right?"
200.8,204.0,แล้วหนูมี แอป SCB ด้วยไหม,Do you also have the SCB app?
205.2,216.1,อ่า โยกเงินเข้าแอป SCB มั้ย มันจะได้ขั้นตอน มันจะได้ง่าย หรือว่าหนูจะสะดวกทำที่กรุงเทพฯ,"Ah, should I transfer money to the SCB app? It would be an easier process. Or would it be more convenient for me to do it in Bangkok?"
217.6,224.7,ของผมทำกรุงเทพฯ ก็ได้ ถ้าหนูสามารถโยกเงินมาใส่แอป SCB ได้ไหม,I can do it in Bangkok if you can transfer the money to my SCB app.
226.1,228.0,เดี๋ยวพี่จะได้บอกไปพร้อม ๆ กันเลยเนี่ย,"Soon, I will be able to tell you together."
229.7,262.2,หนูโอนเงินหนูโอนเงินจากกรุงเทพฯเนี่ยเข้า SCB แล้วก็จ่ายบิลตามขั้นตอนที่พี่ส่งให้ไปใน LINE ง่ายกว่าใช่เพราะว่าพี่ตอนแรกพี่นึกว่าน้องตาย SCB ทำไมน้องทำไม่ได้เนาะเอออ่ะๆๆง่ายๆก็คือสรุปนะน้องโยกเงินจากกรุงเทพฯเข้า SCB เลยแล้วน้องทำตามขั้นตอนที่พี่ส่งไปใน LINE โอเคได้ๆมันจะได้สะดวกรวดเร็วที่จะได้รีบลงทะเบียนให้โอเคโอเคจ้าสวัสดีค่ะ,
